graph   algorithm   reads   pairing speed   total_wall_clock_time   max_resident_set_size(kbytes)
hgsvc	bwa_mem	novaseq6000	single	2486.175	4:13:37	7731856
hgsvc	bwa_mem	novaseq6000	paired	1993.05	5:20:17	8502812
1000gp	bwa_mem	novaseq6000	single	2486.175	4:13:37	7731856
1000gp	bwa_mem	novaseq6000	paired	1993.05	5:20:17	8502812
yeast	bwa_mem	DBVPG6044	single	3370.53125	7:06.81	7730568
yeast	bwa_mem	DBVPG6044	paired	2770.60625	8:39.59	7878496
hgsvc	minimap2	novaseq6000	single	4700.48509	2:09:26	14195056
hgsvc	minimap2	novaseq6000	paired	4118.921502	2:37:33	11953128
1000gp	minimap2	novaseq6000	single	4700.48509	2:09:26	14195056
1000gp	minimap2	novaseq6000	paired	4118.921502	2:37:33	11953128
yeast	minimap2	DBVPG6044	single	34883.77314	5:28.22	588128
yeast	minimap2	DBVPG6044	paired	23211.04802	8:07.84	567572
hgsvc	bowtie2	novaseq6000	single	1562.5	5:46:36	4430844
hgsvc	bowtie2	novaseq6000	paired	1524.390244	6:19:23	4698480
1000gp	bowtie2	novaseq6000	single	1562.5	5:46:36	4430844
1000gp	bowtie2	novaseq6000	paired	1524.390244	6:19:23	4698480
yeast	bowtie2	DBVPG6044	single	6835.90716	3:31.06	109680
yeast	bowtie2	DBVPG6044	paired	4346.286651	5:26.65	207256
hgsvc	giraffe_full	novaseq6000	single  4863.76    2:11:37  49412684
hgsvc	giraffe_full	novaseq6000	paired  4173.65       2:32:25         49741336
1000gp	giraffe_full	novaseq6000	single  2396.25   4:25:35     75402244
1000gp	giraffe_full	novaseq6000	paired 2441.95 4:22:13     75617640 
1000gp	giraffe_sampled	novaseq6000	single  3925.95   2:42:11     61669232
1000gp	giraffe_sampled	novaseq6000	paired 3041.54   3:28:45     61877528 
yeast    giraffe DBVPG6044   single  2213.62    10:39.68        1699032 
yeast    giraffe DBVPG6044   paired  1765.24    13:23.32        2240724
yeast    giraffe_fast DBVPG6044  single  2645.32 8:56.87     1707592
yeast    giraffe_fast DBVPG6044  paired  2088.04    11:19.67        2236152
yeast   giraffe_primary DBVPG6044   single  11252.7 2:07.07     616424 
yeast   giraffe_primary DBVPG6044   paired  8819.43 2:41.21     816560 
yeast    vg_map  DBVPG6044   single  299.024    1:18:34 1446    380
yeast    vg_map  DBVPG6044   paired  62.581   6:15:06 2887    524
hgsvc	giraffe_primary	novaseq6000	single  4850.04   2:11:24     49043824
hgsvc	giraffe_primary	novaseq6000	paired  4130.01   2:35:06     49274488 
1000gp	giraffe_primary	novaseq6000	single  4850.04   2:11:24     49043824
1000gp	giraffe_primary	novaseq6000	paired  4130.01   2:35:06     49274488
1000gp	giraffe_fast	novaseq6000	single  5475.26   1:57:22     61665204
1000gp	giraffe_fast	novaseq6000	paired 4478.19   2:22:48     61869212 
hgsvc	giraffe_fast	novaseq6000 single  7424.91       1:26:52         49396168
hgsvc	giraffe_fast	novaseq6000 paired  6079.26       1:45:22         49693616
hgsvc	vg_map	novaseq6000	single	343.434	28:45:10	20323348
hgsvc	vg_map	novaseq6000	paired	286.552	34:10:50	20579068
1000gp	vg_map	novaseq6000	single 321.695      32:27:03                47952540 
1000gp	vg_map	novaseq6000	paired  214.125 48:43:01 48242008
hgsvc   vg_map_primary  novaseq6000	single	353.606	28:45:11	20325856
hgsvc   vg_map_primary  novaseq6000	paired	300.306	34:15:23	20583240
1000gp   vg_map_primary  novaseq6000	single	353.606	28:45:11	20325856
1000gp   vg_map_primary  novaseq6000	paired	300.306	34:15:23	20583240
hgsvc	graphaligner	novaseq6000 single  0   14:15:02	99470048
1000gp	graphaligner	novaseq6000	single  0   0:0:0   249430868
hgsvc	hisat2	novaseq6000	single	5677.517	1:50:08	8819304
hgsvc	hisat2	novaseq6000	paired	5150.3914	2:02:10	10463564
1000gp	hisat2	novaseq6000	single  6250.00 1:38:49	9308724
1000gp	hisat2	novaseq6000	paired  5681.81 1:51:03	9558272
hgsvc	hisat2_sens	novaseq6000	single	3906.25 0:0:0   0
hgsvc	hisat2_sens	novaseq6000	paired	3289.473684 0:0:0   0
1000gp	hisat2_sens	novaseq6000	single 4166.666  0:0:0   0
1000gp	hisat2_sens	novaseq6000 paired   3676.47   0:0:0   0
hgsvc	hisat2_vsens	novaseq6000	single	1838.235294 0:0:0   0
hgsvc	hisat2_vsens	novaseq6000	paired	1689.189189 0:0:0   0
1000gp	hisat2_vsens	novaseq6000	single  2155.17 0:0:0   0 
1000gp	hisat2_vsens	novaseq6000	paired  1953.12 0:0:0   0 
