entity:pedigree_id Population Sex Superpopulation
HG00096 GBR 1 EUR
HG00097 GBR 2 EUR
HG00099 GBR 2 EUR
HG00100 GBR 2 EUR
HG00101 GBR 1 EUR
HG00102 GBR 2 EUR
HG00103 GBR 1 EUR
HG00105 GBR 1 EUR
HG00106 GBR 2 EUR
HG00107 GBR 1 EUR
HG00108 GBR 1 EUR
HG00109 GBR 1 EUR
HG00110 GBR 2 EUR
HG00111 GBR 2 EUR
HG00112 GBR 1 EUR
HG00113 GBR 1 EUR
HG00114 GBR 1 EUR
HG00115 GBR 1 EUR
HG00116 GBR 1 EUR
HG00117 GBR 1 EUR
HG00118 GBR 2 EUR
HG00119 GBR 1 EUR
HG00120 GBR 2 EUR
HG00121 GBR 2 EUR
HG00122 GBR 2 EUR
HG00123 GBR 2 EUR
HG00125 GBR 2 EUR
HG00126 GBR 1 EUR
HG00127 GBR 2 EUR
HG00128 GBR 2 EUR
HG00129 GBR 1 EUR
HG00130 GBR 2 EUR
HG00131 GBR 1 EUR
HG00132 GBR 2 EUR
HG00133 GBR 2 EUR
HG00136 GBR 1 EUR
HG00137 GBR 2 EUR
HG00138 GBR 1 EUR
HG00139 GBR 1 EUR
HG00140 GBR 1 EUR
HG00141 GBR 1 EUR
HG00142 GBR 1 EUR
HG00143 GBR 1 EUR
HG00145 GBR 1 EUR
HG00146 GBR 2 EUR
HG00148 GBR 1 EUR
HG00149 GBR 1 EUR
HG00150 GBR 2 EUR
HG00151 GBR 1 EUR
HG00154 GBR 2 EUR
HG00155 GBR 1 EUR
HG00157 GBR 1 EUR
HG00158 GBR 2 EUR
HG00159 GBR 1 EUR
HG00160 GBR 1 EUR
HG00171 FIN 2 EUR
HG00173 FIN 2 EUR
HG00174 FIN 2 EUR
HG00176 FIN 2 EUR
HG00177 FIN 2 EUR
HG00178 FIN 2 EUR
HG00179 FIN 2 EUR
HG00180 FIN 2 EUR
HG00181 FIN 1 EUR
HG00182 FIN 1 EUR
HG00183 FIN 1 EUR
HG00185 FIN 1 EUR
HG00186 FIN 1 EUR
HG00187 FIN 1 EUR
HG00188 FIN 1 EUR
HG00189 FIN 1 EUR
HG00190 FIN 1 EUR
HG00231 GBR 2 EUR
HG00232 GBR 2 EUR
HG00233 GBR 2 EUR
HG00234 GBR 1 EUR
HG00235 GBR 2 EUR
HG00236 GBR 2 EUR
HG00237 GBR 2 EUR
HG00238 GBR 2 EUR
HG00239 GBR 2 EUR
HG00240 GBR 2 EUR
HG00242 GBR 1 EUR
HG00243 GBR 1 EUR
HG00244 GBR 1 EUR
HG00245 GBR 2 EUR
HG00246 GBR 1 EUR
HG00250 GBR 2 EUR
HG00251 GBR 1 EUR
HG00252 GBR 1 EUR
HG00253 GBR 2 EUR
HG00254 GBR 2 EUR
HG00255 GBR 2 EUR
HG00256 GBR 1 EUR
HG00257 GBR 2 EUR
HG00258 GBR 2 EUR
HG00259 GBR 2 EUR
HG00260 GBR 1 EUR
HG00261 GBR 2 EUR
HG00262 GBR 2 EUR
HG00263 GBR 2 EUR
HG00264 GBR 1 EUR
HG00265 GBR 1 EUR
HG00266 FIN 2 EUR
HG00267 FIN 1 EUR
HG00268 FIN 2 EUR
HG00269 FIN 2 EUR
HG00271 FIN 1 EUR
HG00272 FIN 2 EUR
HG00273 FIN 1 EUR
HG00274 FIN 2 EUR
HG00275 FIN 2 EUR
HG00276 FIN 2 EUR
HG00277 FIN 1 EUR
HG00278 FIN 1 EUR
HG00280 FIN 1 EUR
HG00281 FIN 2 EUR
HG00282 FIN 2 EUR
HG00284 FIN 1 EUR
HG00285 FIN 2 EUR
HG00288 FIN 2 EUR
HG00290 FIN 1 EUR
HG00304 FIN 2 EUR
HG00306 FIN 2 EUR
HG00308 FIN 1 EUR
HG00309 FIN 2 EUR
HG00310 FIN 1 EUR
HG00311 FIN 1 EUR
HG00313 FIN 2 EUR
HG00315 FIN 2 EUR
HG00318 FIN 2 EUR
HG00319 FIN 2 EUR
HG00320 FIN 2 EUR
HG00321 FIN 1 EUR
HG00323 FIN 2 EUR
HG00324 FIN 2 EUR
HG00325 FIN 1 EUR
HG00326 FIN 2 EUR
HG00327 FIN 2 EUR
HG00328 FIN 2 EUR
HG00329 FIN 1 EUR
HG00330 FIN 2 EUR
HG00331 FIN 2 EUR
HG00332 FIN 2 EUR
HG00334 FIN 2 EUR
HG00335 FIN 1 EUR
HG00336 FIN 1 EUR
HG00337 FIN 2 EUR
HG00338 FIN 1 EUR
HG00339 FIN 2 EUR
HG00341 FIN 1 EUR
HG00342 FIN 1 EUR
HG00343 FIN 2 EUR
HG00344 FIN 2 EUR
HG00345 FIN 1 EUR
HG00346 FIN 2 EUR
HG00349 FIN 2 EUR
HG00350 FIN 2 EUR
HG00351 FIN 1 EUR
HG00353 FIN 2 EUR
HG00355 FIN 2 EUR
HG00356 FIN 2 EUR
HG00357 FIN 2 EUR
HG00358 FIN 1 EUR
HG00360 FIN 1 EUR
HG00361 FIN 2 EUR
HG00362 FIN 2 EUR
HG00364 FIN 2 EUR
HG00365 FIN 2 EUR
HG00366 FIN 1 EUR
HG00367 FIN 2 EUR
HG00368 FIN 2 EUR
HG00369 FIN 1 EUR
HG00371 FIN 1 EUR
HG00372 FIN 1 EUR
HG00373 FIN 2 EUR
HG00375 FIN 1 EUR
HG00376 FIN 2 EUR
HG00378 FIN 2 EUR
HG00379 FIN 2 EUR
HG00380 FIN 2 EUR
HG00381 FIN 2 EUR
HG00382 FIN 1 EUR
HG00383 FIN 2 EUR
HG00384 FIN 2 EUR
HG00403 CHS 1 EAS
HG00404 CHS 2 EAS
HG00405 CHS 2 EAS
HG00406 CHS 1 EAS
HG00407 CHS 2 EAS
HG00408 CHS 2 EAS
HG00409 CHS 1 EAS
HG00410 CHS 2 EAS
HG00418 CHS 1 EAS
HG00419 CHS 2 EAS
HG00420 CHS 1 EAS
HG00421 CHS 1 EAS
HG00422 CHS 2 EAS
HG00423 CHS 2 EAS
HG00427 CHS 1 EAS
HG00428 CHS 2 EAS
HG00429 CHS 1 EAS
HG00436 CHS 1 EAS
HG00437 CHS 2 EAS
HG00438 CHS 2 EAS
HG00442 CHS 1 EAS
HG00443 CHS 2 EAS
HG00444 CHS 1 EAS
HG00445 CHS 1 EAS
HG00446 CHS 2 EAS
HG00447 CHS 2 EAS
HG00448 CHS 1 EAS
HG00449 CHS 2 EAS
HG00450 CHS 2 EAS
HG00451 CHS 1 EAS
HG00452 CHS 2 EAS
HG00453 CHS 2 EAS
HG00457 CHS 1 EAS
HG00458 CHS 2 EAS
HG00459 CHS 1 EAS
HG00463 CHS 1 EAS
HG00464 CHS 2 EAS
HG00465 CHS 1 EAS
HG00472 CHS 1 EAS
HG00473 CHS 2 EAS
HG00474 CHS 1 EAS
HG00475 CHS 1 EAS
HG00476 CHS 2 EAS
HG00477 CHS 1 EAS
HG00478 CHS 1 EAS
HG00479 CHS 2 EAS
HG00480 CHS 1 EAS
HG00500 CHS 1 EAS
HG00501 CHS 2 EAS
HG00502 CHS 1 EAS
HG00512 CHS 1 EAS
HG00513 CHS 2 EAS
HG00514 CHS 2 EAS
HG00524 CHS 1 EAS
HG00525 CHS 2 EAS
HG00526 CHS 1 EAS
HG00530 CHS 1 EAS
HG00531 CHS 2 EAS
HG00532 CHS 1 EAS
HG00533 CHS 1 EAS
HG00534 CHS 2 EAS
HG00535 CHS 1 EAS
HG00536 CHS 1 EAS
HG00537 CHS 2 EAS
HG00538 CHS 1 EAS
HG00542 CHS 1 EAS
HG00543 CHS 2 EAS
HG00544 CHS 2 EAS
HG00551 PUR 2 AMR
HG00552 PUR 1 AMR
HG00553 PUR 1 AMR
HG00554 PUR 2 AMR
HG00555 PUR 2 AMR
HG00556 CHS 1 EAS
HG00557 CHS 2 EAS
HG00558 CHS 2 EAS
HG00559 CHS 1 EAS
HG00560 CHS 2 EAS
HG00561 CHS 2 EAS
HG00565 CHS 1 EAS
HG00566 CHS 2 EAS
HG00567 CHS 1 EAS
HG00577 CHS 1 EAS
HG00578 CHS 2 EAS
HG00579 CHS 2 EAS
HG00580 CHS 1 EAS
HG00581 CHS 2 EAS
HG00582 CHS 2 EAS
HG00583 CHS 1 EAS
HG00584 CHS 2 EAS
HG00585 CHS 2 EAS
HG00589 CHS 1 EAS
HG00590 CHS 2 EAS
HG00591 CHS 1 EAS
HG00592 CHS 1 EAS
HG00593 CHS 2 EAS
HG00594 CHS 1 EAS
HG00595 CHS 1 EAS
HG00596 CHS 2 EAS
HG00597 CHS 2 EAS
HG00598 CHS 1 EAS
HG00599 CHS 2 EAS
HG00607 CHS 1 EAS
HG00608 CHS 2 EAS
HG00609 CHS 1 EAS
HG00610 CHS 1 EAS
HG00611 CHS 2 EAS
HG00612 CHS 2 EAS
HG00613 CHS 1 EAS
HG00614 CHS 2 EAS
HG00615 CHS 2 EAS
HG00619 CHS 1 EAS
HG00620 CHS 2 EAS
HG00621 CHS 1 EAS
HG00622 CHS 1 EAS
HG00623 CHS 2 EAS
HG00625 CHS 1 EAS
HG00626 CHS 2 EAS
HG00627 CHS 1 EAS
HG00628 CHS 1 EAS
HG00629 CHS 2 EAS
HG00630 CHS 1 EAS
HG00631 CHS 1 EAS
HG00632 CHS 2 EAS
HG00634 CHS 1 EAS
HG00635 CHS 2 EAS
HG00636 CHS 1 EAS
HG00637 PUR 1 AMR
HG00638 PUR 2 AMR
HG00639 PUR 2 AMR
HG00640 PUR 1 AMR
HG00641 PUR 2 AMR
HG00642 PUR 1 AMR
HG00650 CHS 1 EAS
HG00651 CHS 2 EAS
HG00652 CHS 2 EAS
HG00653 CHS 1 EAS
HG00654 CHS 2 EAS
HG00655 CHS 2 EAS
HG00656 CHS 1 EAS
HG00657 CHS 2 EAS
HG00658 CHS 1 EAS
HG00662 CHS 1 EAS
HG00663 CHS 2 EAS
HG00664 CHS 1 EAS
HG00671 CHS 1 EAS
HG00672 CHS 2 EAS
HG00673 CHS 1 EAS
HG00674 CHS 1 EAS
HG00675 CHS 2 EAS
HG00683 CHS 1 EAS
HG00684 CHS 2 EAS
HG00685 CHS 1 EAS
HG00689 CHS 1 EAS
HG00690 CHS 2 EAS
HG00691 CHS 1 EAS
HG00692 CHS 1 EAS
HG00693 CHS 2 EAS
HG00694 CHS 1 EAS
HG00698 CHS 1 EAS
HG00699 CHS 2 EAS
HG00700 CHS 2 EAS
HG00701 CHS 1 EAS
HG00702 CHS 2 EAS
HG00703 CHS 1 EAS
HG00704 CHS 1 EAS
HG00705 CHS 2 EAS
HG00706 CHS 1 EAS
HG00707 CHS 1 EAS
HG00708 CHS 2 EAS
HG00709 CHS 1 EAS
HG00717 CHS 2 EAS
HG00728 CHS 1 EAS
HG00729 CHS 2 EAS
HG00731 PUR 1 AMR
HG00732 PUR 2 AMR
HG00733 PUR 2 AMR
HG00734 PUR 2 AMR
HG00735 PUR 2 AMR
HG00736 PUR 1 AMR
HG00737 PUR 2 AMR
HG00738 PUR 1 AMR
HG00739 PUR 1 AMR
HG00740 PUR 2 AMR
HG00741 PUR 2 AMR
HG00742 PUR 1 AMR
HG00743 PUR 2 AMR
HG00759 CDX 2 EAS
HG00766 CDX 2 EAS
HG00844 CDX 1 EAS
HG00851 CDX 2 EAS
HG00864 CDX 2 EAS
HG00867 CDX 2 EAS
HG00879 CDX 2 EAS
HG00881 CDX 1 EAS
HG00956 CDX 2 EAS
HG00978 CDX 2 EAS
HG00982 CDX 1 EAS
HG01028 CDX 1 EAS
HG01029 CDX 2 EAS
HG01031 CDX 1 EAS
HG01046 CDX 2 EAS
HG01047 PUR 1 AMR
HG01048 PUR 1 AMR
HG01049 PUR 2 AMR
HG01050 PUR 2 AMR
HG01051 PUR 1 AMR
HG01052 PUR 2 AMR
HG01053 PUR 2 AMR
HG01054 PUR 1 AMR
HG01055 PUR 2 AMR
HG01056 PUR 1 AMR
HG01058 PUR 2 AMR
HG01060 PUR 1 AMR
HG01061 PUR 2 AMR
HG01062 PUR 2 AMR
HG01063 PUR 1 AMR
HG01064 PUR 2 AMR
HG01066 PUR 1 AMR
HG01067 PUR 2 AMR
HG01068 PUR 2 AMR
HG01069 PUR 1 AMR
HG01070 PUR 2 AMR
HG01071 PUR 2 AMR
HG01072 PUR 1 AMR
HG01073 PUR 2 AMR
HG01074 PUR 1 AMR
