entity:pedigree_id	FamilyID	FatherID	MotherID	Population	Sex	Superpopulation
HG00096	HG00096	0	0	GBR	1	EUR
HG00097	HG00097	0	0	GBR	2	EUR
HG00099	HG00099	0	0	GBR	2	EUR
HG00100	HG00100	0	0	GBR	2	EUR
HG00101	HG00101	0	0	GBR	1	EUR
HG00102	HG00102	0	0	GBR	2	EUR
HG00103	HG00103	0	0	GBR	1	EUR
HG00105	HG00105	0	0	GBR	1	EUR
HG00106	HG00106	0	0	GBR	2	EUR
HG00107	HG00107	0	0	GBR	1	EUR
HG00108	HG00108	0	0	GBR	1	EUR
HG00109	HG00109	0	0	GBR	1	EUR
HG00110	HG00110	0	0	GBR	2	EUR
HG00111	HG00111	0	0	GBR	2	EUR
HG00112	HG00112	0	0	GBR	1	EUR
HG00113	HG00113	0	0	GBR	1	EUR
HG00114	HG00114	0	0	GBR	1	EUR
HG00115	HG00115	0	0	GBR	1	EUR
HG00116	HG00116	0	0	GBR	1	EUR
HG00117	HG00117	0	0	GBR	1	EUR
HG00118	HG00118	0	0	GBR	2	EUR
HG00119	HG00119	0	0	GBR	1	EUR
HG00120	HG00120	0	0	GBR	2	EUR
HG00121	HG00121	0	0	GBR	2	EUR
HG00122	HG00122	0	0	GBR	2	EUR
HG00123	HG00123	0	0	GBR	2	EUR
HG00125	HG00125	0	0	GBR	2	EUR
HG00126	HG00126	0	0	GBR	1	EUR
HG00127	HG00127	0	0	GBR	2	EUR
HG00128	HG00128	0	0	GBR	2	EUR
HG00129	HG00129	0	0	GBR	1	EUR
HG00130	HG00130	0	0	GBR	2	EUR
HG00131	HG00131	0	0	GBR	1	EUR
HG00132	HG00132	0	0	GBR	2	EUR
HG00133	HG00133	0	0	GBR	2	EUR
HG00136	HG00136	0	0	GBR	1	EUR
HG00137	HG00137	0	0	GBR	2	EUR
HG00138	HG00138	0	0	GBR	1	EUR
HG00139	HG00139	0	0	GBR	1	EUR
HG00140	HG00140	0	0	GBR	1	EUR
HG00141	HG00141	0	0	GBR	1	EUR
HG00142	HG00142	0	0	GBR	1	EUR
HG00143	HG00143	0	0	GBR	1	EUR
HG00145	HG00145	0	0	GBR	1	EUR
