type	FP	TP	FN	TP.baseline	precision	recall	F1	qual	exp	method	sample	region	eval	min.cov
Total	1524	16402	2452	16592	0.915	0.8712	0.8926	0	giab5	vg	HG002	all	call	0.5
INS	854	9774	1271	9783	0.9196	0.885	0.902	0	giab5	vg	HG002	all	call	0.5
DEL	670	6628	1181	6809	0.9082	0.8522	0.8793	0	giab5	vg	HG002	all	call	0.5
Total	1439	15847	3036	16008	0.9168	0.8406	0.877	2	giab5	vg	HG002	all	call	0.5
INS	826	9518	1538	9516	0.9201	0.8609	0.8895	2	giab5	vg	HG002	all	call	0.5
DEL	613	6329	1498	6492	0.9117	0.8125	0.8592	2	giab5	vg	HG002	all	call	0.5
Total	1405	15663	3211	15833	0.9177	0.8314	0.8724	3	giab5	vg	HG002	all	call	0.5
INS	807	9392	1652	9402	0.9209	0.8506	0.8844	3	giab5	vg	HG002	all	call	0.5
DEL	598	6271	1559	6431	0.9129	0.8049	0.8555	3	giab5	vg	HG002	all	call	0.5
Total	1374	15473	3395	15649	0.9184	0.8217	0.8674	4	giab5	vg	HG002	all	call	0.5
INS	782	9238	1796	9258	0.922	0.8375	0.8777	4	giab5	vg	HG002	all	call	0.5
DEL	592	6235	1599	6391	0.9133	0.7999	0.8528	4	giab5	vg	HG002	all	call	0.5
Total	1359	15374	3493	15551	0.9188	0.8166	0.8647	5	giab5	vg	HG002	all	call	0.5
INS	775	9170	1859	9195	0.9221	0.8318	0.8746	5	giab5	vg	HG002	all	call	0.5
DEL	584	6204	1634	6356	0.914	0.7955	0.8506	5	giab5	vg	HG002	all	call	0.5
Total	1342	15209	3654	15390	0.9189	0.8081	0.8599	7	giab5	vg	HG002	all	call	0.5
INS	766	9060	1959	9095	0.922	0.8228	0.8696	7	giab5	vg	HG002	all	call	0.5
DEL	576	6149	1695	6295	0.9143	0.7879	0.8464	7	giab5	vg	HG002	all	call	0.5
Total	1272	14803	4046	14998	0.9209	0.7875	0.849	10	giab5	vg	HG002	all	call	0.5
INS	726	8769	2239	8815	0.9235	0.7974	0.8558	10	giab5	vg	HG002	all	call	0.5
DEL	546	6034	1807	6183	0.917	0.7738	0.8393	10	giab5	vg	HG002	all	call	0.5
Total	1243	14659	4192	14852	0.9218	0.7799	0.8449	12	giab5	vg	HG002	all	call	0.5
INS	706	8668	2337	8717	0.9247	0.7886	0.8512	12	giab5	vg	HG002	all	call	0.5
DEL	537	5991	1855	6135	0.9177	0.7678	0.8361	12	giab5	vg	HG002	all	call	0.5
Total	1197	14339	4491	14553	0.923	0.7642	0.8361	14	giab5	vg	HG002	all	call	0.5
INS	675	8437	2547	8507	0.9259	0.7696	0.8405	14	giab5	vg	HG002	all	call	0.5
DEL	522	5902	1944	6046	0.9187	0.7567	0.8299	14	giab5	vg	HG002	all	call	0.5
Total	1086	13552	5274	13770	0.9258	0.7231	0.812	21	giab5	vg	HG002	all	call	0.5
INS	611	7916	3046	8008	0.9283	0.7244	0.8138	21	giab5	vg	HG002	all	call	0.5
DEL	475	5636	2228	5762	0.9223	0.7212	0.8094	21	giab5	vg	HG002	all	call	0.5
Total	979	12793	6039	13005	0.9289	0.6829	0.7871	27	giab5	vg	HG002	all	call	0.5
INS	545	7409	3548	7506	0.9315	0.679	0.7855	27	giab5	vg	HG002	all	call	0.5
