type	FP	TP	FN	TP.baseline	precision	recall	F1	qual	exp	method	sample	region	eval	min.cov
Total	0	12554	1450	11198	1	0.8854	0.9392	0	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
INS	0	7195	985	6264	1	0.8641	0.9271	0	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
DEL	0	5359	465	4934	1	0.9139	0.955	0	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
Total	0	11337	2198	10450	1	0.8262	0.9048	2	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
INS	0	6474	1407	5842	1	0.8059	0.8925	2	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
DEL	0	4863	791	4608	1	0.8535	0.921	2	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
Total	0	11144	2339	10309	1	0.8151	0.8981	3	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
INS	0	6346	1499	5750	1	0.7932	0.8847	3	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
DEL	0	4798	840	4559	1	0.8444	0.9156	3	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
Total	0	10836	2566	10082	1	0.7971	0.8871	4	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
INS	0	6099	1675	5574	1	0.7689	0.8694	4	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
DEL	0	4737	891	4508	1	0.835	0.9101	4	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
Total	0	10711	2662	9986	1	0.7895	0.8824	5	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
INS	0	6010	1742	5507	1	0.7597	0.8634	5	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
DEL	0	4701	920	4479	1	0.8296	0.9069	5	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
Total	0	10519	2809	9839	1	0.7779	0.8751	7	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
INS	0	5870	1852	5397	1	0.7445	0.8535	7	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
DEL	0	4649	957	4442	1	0.8227	0.9027	7	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
Total	0	10033	3195	9453	1	0.7474	0.8554	10	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
INS	0	5508	2132	5117	1	0.7059	0.8276	10	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
