type	FP	TP	FN	TP.baseline	precision	recall	F1	qual	exp	method	sample	region	eval	min.cov
Total	6246	22761	3751	24737	0.7847	0.8683	0.8244	0	hgsvc	hsvlr_graph	HG00514	all	call	0.5
INS	3378	14016	2247	15105	0.8058	0.8705	0.8369	0	hgsvc	hsvlr_graph	HG00514	all	call	0.5
DEL	2868	8745	1504	9632	0.753	0.8649	0.8051	0	hgsvc	hsvlr_graph	HG00514	all	call	0.5
Total	4753	17871	7237	21251	0.7899	0.746	0.7673	2	hgsvc	hsvlr_graph	HG00514	all	call	0.5
INS	2695	10888	4307	13045	0.8016	0.7518	0.7759	2	hgsvc	hsvlr_graph	HG00514	all	call	0.5
DEL	2058	6983	2930	8206	0.7724	0.7369	0.7542	2	hgsvc	hsvlr_graph	HG00514	all	call	0.5
Total	4561	17364	7713	20775	0.792	0.7293	0.7594	3	hgsvc	hsvlr_graph	HG00514	all	call	0.5
INS	2580	10533	4634	12718	0.8032	0.7329	0.7664	3	hgsvc	hsvlr_graph	HG00514	all	call	0.5
DEL	1981	6831	3079	8057	0.7752	0.7235	0.7485	3	hgsvc	hsvlr_graph	HG00514	all	call	0.5
Total	4294	16597	8504	19984	0.7945	0.7015	0.7451	4	hgsvc	hsvlr_graph	HG00514	all	call	0.5
INS	2393	9969	5219	12133	0.8064	0.6992	0.749	4	hgsvc	hsvlr_graph	HG00514	all	call	0.5
DEL	1901	6628	3285	7851	0.7771	0.705	0.7393	4	hgsvc	hsvlr_graph	HG00514	all	call	0.5
Total	4193	16285	8803	19685	0.7952	0.691	0.7394	5	hgsvc	hsvlr_graph	HG00514	all	call	0.5
INS	2343	9758	5419	11933	0.8064	0.6877	0.7423	5	hgsvc	hsvlr_graph	HG00514	all	call	0.5
DEL	1850	6527	3384	7752	0.7792	0.6961	0.7353	5	hgsvc	hsvlr_graph	HG00514	all	call	0.5
Total	4015	15800	9306	19182	0.7974	0.6733	0.7301	7	hgsvc	hsvlr_graph	HG00514	all	call	0.5
INS	2242	9451	5735	11617	0.8083	0.6695	0.7324	7	hgsvc	hsvlr_graph	HG00514	all	call	0.5
DEL	1773	6349	3571	7565	0.7817	0.6793	0.7269	7	hgsvc	hsvlr_graph	HG00514	all	call	0.5
