type	FP	TP	FN	TP.baseline	precision	recall	F1	qual	exp	method	sample	region	eval	min.cov
Total	5650	22557	4407	24081	0.7997	0.8453	0.8219	0	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
INS	2929	13889	3020	14332	0.8258	0.826	0.8259	0	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
DEL	2721	8668	1387	9749	0.7611	0.8754	0.8143	0	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
Total	4930	20247	6288	22200	0.8042	0.7793	0.7916	2	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
INS	2766	12928	3676	13676	0.8238	0.7882	0.8056	2	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
DEL	2164	7319	2612	8524	0.7718	0.7654	0.7686	2	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
Total	4737	19632	6767	21721	0.8056	0.7625	0.7835	3	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
INS	2659	12441	4025	13327	0.8239	0.768	0.795	3	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
DEL	2078	7191	2742	8394	0.7758	0.7538	0.7646	3	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
Total	4517	18391	7920	20568	0.8028	0.722	0.7603	4	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
INS	2514	11396	4949	12403	0.8193	0.7148	0.7635	4	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
DEL	2003	6995	2971	8165	0.7774	0.7332	0.7547	4	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
Total	4409	17986	8361	20127	0.8031	0.7065	0.7517	5	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
INS	2447	11075	5266	12086	0.819	0.6965	0.7528	5	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
DEL	1962	6911	3095	8041	0.7789	0.7221	0.7494	5	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
Total	4252	17256	9166	19322	0.8023	0.6783	0.7351	7	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
INS	2353	10505	5897	11455	0.817	0.6602	0.7303	7	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
DEL	1899	6751	3269	7867	0.7805	0.7064	0.7416	7	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
Total	3897	15923	10465	18023	0.8034	0.6327	0.7079	10	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
INS	2188	9574	6776	10576	0.814	0.6095	0.6971	10	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
DEL	1709	6349	3689	7447	0.7879	0.6687	0.7234	10	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
Total	3795	15601	10782	17706	0.8043	0.6215	0.7012	12	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
INS	2132	9344	6999	10353	0.8142	0.5966	0.6886	12	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
DEL	1663	6257	3783	7353	0.79	0.6603	0.7194	12	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
Total	3587	14805	11435	17053	0.805	0.5986	0.6866	14	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
INS	2001	8762	7416	9936	0.8141	0.5726	0.6723	14	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
DEL	1586	6043	4019	7117	0.7921	0.6391	0.7074	14	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
Total	3117	13037	13144	15344	0.807	0.5386	0.646	21	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
INS	1735	7497	8513	8839	0.8121	0.5094	0.6261	21	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
DEL	1382	5540	4631	6505	0.8003	0.5841	0.6753	21	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
Total	2620	10972	15631	12857	0.8072	0.4513	0.5789	27	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
INS	1436	6048	10308	7044	0.8081	0.4059	0.5404	27	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
DEL	1184	4924	5323	5813	0.8062	0.522	0.6337	27	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
Total	2435	10076	16569	11919	0.8054	0.4184	0.5507	35	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
INS	1347	5537	10803	6549	0.8043	0.3774	0.5137	35	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
DEL	1088	4539	5766	5370	0.8066	0.4822	0.6036	35	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
Total	2090	8737	17986	10502	0.807	0.3686	0.5061	45	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
INS	1162	4760	11560	5792	0.8038	0.3338	0.4717	45	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
DEL	928	3977	6426	4710	0.8108	0.423	0.556	45	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
Total	1877	7862	19045	9443	0.8073	0.3315	0.47	50	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
INS	1037	4246	12148	5204	0.8037	0.2999	0.4368	50	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
DEL	840	3616	6897	4239	0.8115	0.3807	0.5183	50	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
Total	1648	6729	20474	8014	0.8033	0.2813	0.4167	60	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
INS	918	3632	12957	4395	0.7982	0.2533	0.3846	60	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
DEL	730	3097	7517	3619	0.8093	0.325	0.4638	60	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
Total	1290	5236	22234	6254	0.8023	0.2195	0.3447	75	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
INS	716	2823	13919	3433	0.7977	0.1978	0.317	75	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
DEL	574	2413	8315	2821	0.8078	0.2533	0.3857	75	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
Total	1096	4390	23216	5272	0.8002	0.1851	0.3007	90	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
INS	613	2375	14446	2906	0.7948	0.1675	0.2767	90	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
DEL	483	2015	8770	2366	0.8066	0.2125	0.3364	90	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
Total	990	3907	23803	4685	0.7978	0.1645	0.2728	99	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
INS	553	2089	14789	2563	0.7907	0.1477	0.2489	99	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
DEL	437	1818	9014	2122	0.8062	0.1906	0.3083	99	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
Total	879	3504	24283	4205	0.7995	0.1476	0.2492	110	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
INS	490	1873	15055	2297	0.7926	0.1324	0.2269	110	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
DEL	389	1631	9228	1908	0.8074	0.1713	0.2826	110	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
