type	FP	TP	FN	TP.baseline	precision	recall	F1	qual	exp	method	sample	region	eval	min.cov
Total	5700	24668	3597	24891	0.8123	0.8737	0.8419	0	hgsvc	vg	HG00514	all	call	0.5
INS	3231	15522	2363	14989	0.8277	0.8638	0.8454	0	hgsvc	vg	HG00514	all	call	0.5
DEL	2469	9146	1234	9902	0.7874	0.8892	0.8352	0	hgsvc	vg	HG00514	all	call	0.5
Total	5022	22093	5418	23070	0.8148	0.8098	0.8123	2	hgsvc	vg	HG00514	all	call	0.5
INS	3023	14455	3037	14315	0.827	0.825	0.826	2	hgsvc	vg	HG00514	all	call	0.5
DEL	1999	7638	2381	8755	0.7926	0.7862	0.7894	2	hgsvc	vg	HG00514	all	call	0.5
Total	4826	21462	5874	22614	0.8164	0.7938	0.8049	3	hgsvc	vg	HG00514	all	call	0.5
INS	2921	13961	3364	13988	0.827	0.8061	0.8164	3	hgsvc	vg	HG00514	all	call	0.5
DEL	1905	7501	2510	8626	0.7975	0.7746	0.7859	3	hgsvc	vg	HG00514	all	call	0.5
Total	4613	20232	6948	21540	0.8143	0.7561	0.7841	4	hgsvc	vg	HG00514	all	call	0.5
INS	2767	12963	4132	13220	0.8241	0.7619	0.7918	4	hgsvc	vg	HG00514	all	call	0.5
DEL	1846	7269	2816	8320	0.7975	0.7471	0.7715	4	hgsvc	vg	HG00514	all	call	0.5
Total	4501	19806	7310	21178	0.8148	0.7434	0.7775	5	hgsvc	vg	HG00514	all	call	0.5
INS	2697	12640	4406	12946	0.8242	0.7461	0.7832	5	hgsvc	vg	HG00514	all	call	0.5
DEL	1804	7166	2904	8232	0.7989	0.7392	0.7679	5	hgsvc	vg	HG00514	all	call	0.5
Total	4345	19096	7910	20578	0.8146	0.7223	0.7657	7	hgsvc	vg	HG00514	all	call	0.5
INS	2599	12089	4871	12481	0.8231	0.7193	0.7677	7	hgsvc	vg	HG00514	all	call	0.5
DEL	1746	7007	3039	8097	0.8005	0.7271	0.762	7	hgsvc	vg	HG00514	all	call	0.5
Total	3978	17709	9203	19285	0.8166	0.677	0.7403	10	hgsvc	vg	HG00514	all	call	0.5
INS	2413	11101	5738	11614	0.8214	0.6693	0.7376	10	hgsvc	vg	HG00514	all	call	0.5
DEL	1565	6608	3465	7671	0.8085	0.6888	0.7439	10	hgsvc	vg	HG00514	all	call	0.5
Total	3869	17358	9489	18999	0.8177	0.6669	0.7346	12	hgsvc	vg	HG00514	all	call	0.5
INS	2343	10840	5934	11418	0.8223	0.658	0.731	12	hgsvc	vg	HG00514	all	call	0.5
DEL	1526	6518	3555	7581	0.8103	0.6808	0.7399	12	hgsvc	vg	HG00514	all	call	0.5
Total	3641	16474	10181	18307	0.819	0.6426	0.7202	14	hgsvc	vg	HG00514	all	call	0.5
INS	2192	10165	6412	10940	0.8226	0.6305	0.7139	14	hgsvc	vg	HG00514	all	call	0.5
DEL	1449	6309	3769	7367	0.8132	0.6615	0.7295	14	hgsvc	vg	HG00514	all	call	0.5
Total	3108	14490	11771	16717	0.8234	0.5868	0.6853	21	hgsvc	vg	HG00514	all	call	0.5
INS	1869	8760	7417	9935	0.8242	0.5726	0.6757	21	hgsvc	vg	HG00514	all	call	0.5
DEL	1239	5730	4354	6782	0.8222	0.609	0.6997	21	hgsvc	vg	HG00514	all	call	0.5
Total	2543	11951	14296	14192	0.8245	0.4982	0.6211	27	hgsvc	vg	HG00514	all	call	0.5
INS	1519	7041	9094	8258	0.8225	0.4759	0.6029	27	hgsvc	vg	HG00514	all	call	0.5
DEL	1024	4910	5202	5934	0.8274	0.5329	0.6483	27	hgsvc	vg	HG00514	all	call	0.5
Total	2354	11019	15236	13252	0.824	0.4652	0.5947	35	hgsvc	vg	HG00514	all	call	0.5
INS	1416	6476	9590	7762	0.8206	0.4473	0.579	35	hgsvc	vg	HG00514	all	call	0.5
DEL	938	4543	5646	5490	0.8289	0.493	0.6183	35	hgsvc	vg	HG00514	all	call	0.5
Total	2037	9439	16799	11689	0.8225	0.4103	0.5475	45	hgsvc	vg	HG00514	all	call	0.5
INS	1219	5465	10505	6847	0.8176	0.3946	0.5323	45	hgsvc	vg	HG00514	all	call	0.5
DEL	818	3974	6294	4842	0.8293	0.4348	0.5705	45	hgsvc	vg	HG00514	all	call	0.5
Total	1827	8471	17948	10540	0.8226	0.37	0.5104	50	hgsvc	vg	HG00514	all	call	0.5
INS	1096	4846	11190	6162	0.8156	0.3551	0.4948	50	hgsvc	vg	HG00514	all	call	0.5
DEL	731	3625	6758	4378	0.8322	0.3931	0.534	50	hgsvc	vg	HG00514	all	call	0.5
Total	1590	7217	19361	9127	0.8195	0.3204	0.4607	60	hgsvc	vg	HG00514	all	call	0.5
INS	956	4165	11940	5412	0.8133	0.3119	0.4509	60	hgsvc	vg	HG00514	all	call	0.5
DEL	634	3052	7421	3715	0.828	0.3336	0.4756	60	hgsvc	vg	HG00514	all	call	0.5
Total	1260	5532	21357	7131	0.8145	0.2503	0.3829	75	hgsvc	vg	HG00514	all	call	0.5
INS	751	3173	13080	4272	0.8086	0.2462	0.3775	75	hgsvc	vg	HG00514	all	call	0.5
DEL	509	2359	8277	2859	0.8225	0.2567	0.3913	75	hgsvc	vg	HG00514	all	call	0.5
Total	1104	4637	22434	6054	0.8077	0.2125	0.3365	90	hgsvc	vg	HG00514	all	call	0.5
INS	655	2674	13684	3668	0.8032	0.2114	0.3347	90	hgsvc	vg	HG00514	all	call	0.5
DEL	449	1963	8750	2386	0.8138	0.2143	0.3393	90	hgsvc	vg	HG00514	all	call	0.5
Total	988	4135	23164	5324	0.8071	0.1869	0.3035	99	hgsvc	vg	HG00514	all	call	0.5
INS	579	2336	14204	3148	0.8014	0.1814	0.2958	99	hgsvc	vg	HG00514	all	call	0.5
DEL	409	1799	8960	2176	0.8148	0.1954	0.3152	99	hgsvc	vg	HG00514	all	call	0.5
Total	878	3686	23721	4767	0.8076	0.1673	0.2772	110	hgsvc	vg	HG00514	all	call	0.5
INS	526	2072	14558	2794	0.7975	0.161	0.2679	110	hgsvc	vg	HG00514	all	call	0.5
DEL	352	1614	9163	1973	0.821	0.1772	0.2915	110	hgsvc	vg	HG00514	all	call	0.5
Total	663	2823	24771	3717	0.8098	0.1305	0.2248	133	hgsvc	vg	HG00514	all	call	0.5
INS	402	1561	15200	2152	0.7952	0.124	0.2145	133	hgsvc	vg	HG00514	all	call	0.5
DEL	261	1262	9571	1565	0.8286	0.1405	0.2403	133	hgsvc	vg	HG00514	all	call	0.5
Total	462	1849	25961	2527	0.8001	0.0887	0.1597	167	hgsvc	vg	HG00514	all	call	0.5
INS	290	1012	15912	1440	0.7773	0.083	0.15	167	hgsvc	vg	HG00514	all	call	0.5
DEL	172	837	10049	1087	0.8295	0.0976	0.1747	167	hgsvc	vg	HG00514	all	call	0.5
Total	408	1637	26261	2227	0.8005	0.0782	0.1425	180	hgsvc	vg	HG00514	all	call	0.5
INS	263	872	16135	1217	0.7683	0.0701	0.1285	180	hgsvc	vg	HG00514	all	call	0.5
DEL	145	765	10126	1010	0.8407	0.0907	0.1637	180	hgsvc	vg	HG00514	all	call	0.5
Total	189	603	27564	924	0.7614	0.0324	0.0622	250	hgsvc	vg	HG00514	all	call	0.5
INS	124	347	16837	515	0.7367	0.0297	0.0571	250	hgsvc	vg	HG00514	all	call	0.5
DEL	65	256	10727	409	0.7975	0.0367	0.0702	250	hgsvc	vg	HG00514	all	call	0.5
Total	0	0	28488	0	NA	0	NA	350	hgsvc	vg	HG00514	all	call	0.5
INS	0	0	17352	0	NA	0	NA	350	hgsvc	vg	HG00514	all	call	0.5
DEL	0	0	11136	0	NA	0	NA	350	hgsvc	vg	HG00514	all	call	0.5
Total	0	0	28488	0	NA	0	NA	450	hgsvc	vg	HG00514	all	call	0.5
INS	0	0	17352	0	NA	0	NA	450	hgsvc	vg	HG00514	all	call	0.5
DEL	0	0	11136	0	NA	0	NA	450	hgsvc	vg	HG00514	all	call	0.5
Total	0	0	28488	0	NA	0	NA	550	hgsvc	vg	HG00514	all	call	0.5
INS	0	0	17352	0	NA	0	NA	550	hgsvc	vg	HG00514	all	call	0.5
DEL	0	0	11136	0	NA	0	NA	550	hgsvc	vg	HG00514	all	call	0.5
Total	0	0	28488	0	NA	0	NA	650	hgsvc	vg	HG00514	all	call	0.5
INS	0	0	17352	0	NA	0	NA	650	hgsvc	vg	HG00514	all	call	0.5
