svsite	Superpopulation	af	af.med
sv_1000690_0	EUR	0.175944333996024	0.315431164901664
sv_1000691_0	EUR	0.129224652087475	0.288343558282209
sv_1003056_0	EUR	0.495029821073559	0.639183055975794
sv_1003064_0	EUR	0.438369781312127	0.233128834355828
sv_1003072_0	EUR	0.122266401590457	0.333333333333333
sv_1003116_0	EUR	0.20675944333996	0.0869120654396728
sv_1003520_0	EUR	0.255467196819085	0.138036809815951
sv_1003527_0	EUR	0.184890656063618	0.0793650793650794
sv_1003630_0	EUR	0.651093439363817	0.494704992435703
sv_1003806_0	EUR	0.719681908548708	0.865994236311239
sv_1004871_0	EUR	0.465208747514911	0.26278118609407
sv_10051_0	EUR	0.529821073558648	0.636904761904762
sv_1005142_0	EUR	0.636182902584493	0.534582132564842
sv_1005144_0	EUR	0.63220675944334	0.47125567322239
sv_1005147_0	EUR	0.0576540755467197	0.244376278118609
sv_1005148_0	EUR	0.242544731610338	0.625766871165644
sv_1005155_0	EUR	0.142147117296223	0.265129682997118
sv_1005162_0	EUR	0.681908548707754	0.489775051124744
sv_1005163_0	EUR	0.755467196819085	0.535552193645991
sv_1005380_0	EUR	0.0198807157057654	0.157464212678937
sv_1005381_0	EUR	0.807157057654076	0.529652351738241
sv_1005488_0	EUR	0.0357852882703777	0.202723146747353
sv_1005574_0	EUR	0.319085487077535	0.443804034582133
sv_1005575_0	EUR	0.318091451292247	0.443804034582133
sv_1005610_0	EUR	0.732604373757455	0.524539877300613
sv_1005612_0	EUR	0.15506958250497	0.326021180030257
sv_1005613_0	EUR	0.473161033797217	0.354765506807867
sv_1005658_0	EUR	0.256461232604374	0.540345821325648
sv_1005661_0	EUR	0.0188866799204771	0.122478386167147
sv_1005673_0	EUR	0.751491053677932	0.631123919308357
sv_1005678_0	EUR	0.257455268389662	0.376984126984127
sv_1005751_0	EUR	0.115308151093439	0.245083207261725
sv_1005752_0	EUR	0.191848906560636	0.304034582132565
sv_1005759_0	EUR	0.671968190854871	0.812680115273775
sv_1008151_0	EUR	0.484095427435388	0.347262247838617
sv_1008171_0	EUR	0.431411530815109	0.262896825396825
sv_1008176_0	EUR	0.794234592445328	0.680115273775216
sv_1008181_0	EUR	0.39065606361829	0.505112474437628
sv_1008186_0	EUR	0.601391650099404	0.390489913544669
sv_1008231_0	EUR	0.455268389662028	0.596114519427403
sv_1008268_0	EUR	0.23558648111332	0.420634920634921
sv_1008269_0	EUR	0.204771371769384	0.356150793650794
sv_1008276_0	EUR	0.0834990059642147	0.187116564417178
sv_1008301_0	EUR	0.179920477137177	0.340057636887608
sv_1008302_0	EUR	0.594433399602386	0.865030674846626
sv_1008318_0	EUR	0.415506958250497	0.634005763688761
sv_1008502_0	EUR	0.658051689860835	0.801635991820041
sv_1008507_0	EUR	0.548707753479125	0.420749279538905
sv_1008550_0	EUR	0.289264413518887	0.166666666666667
sv_1008554_0	EUR	0.166998011928429	0.306354009077156
sv_1011725_0	EUR	0.153081510934394	0.274028629856851
sv_1012577_0	EUR	0.486083499005964	0.319018404907975
sv_1012593_0	EUR	0.297216699801193	0.142126789366053
sv_1013666_0	EUR	0.363817097415507	0.202453987730061
sv_1013672_0	EUR	0.311133200795229	0.179959100204499
sv_1016733_0	EUR	0.292246520874752	0.183812405446293
sv_1016809_0	EUR	0.188866799204771	0.065439672801636
